id,frase,autor
1,"Na conquista do belo, todo esforço é pouco.",Helen Keller
2,É melhor vencer nossa dor do que enganá-la.,Sêneca
3,O entusiasmo é comum. A resistência é rara.,Angela Duckworth
4,Nada no mundo é mais forte do que o hábito.,Ovídio
5,"Às vezes, até mesmo viver é um ato de coragem.",Sêneca
6,Não temos pouco tempo: nós perdemos muito dele.,Sêneca
7,"Tudo, Lucílio, nos é alheio; só o tempo é nosso.",Sêneca
8,Que importa o sacrifício se a vitória é honrosa?.,Helen Keller
9,A disciplina transforma a animalidade em humanidade.,Immanuel Kant
10,A primeira e melhor vitória é conquistar a si mesmo.,Platão
11,É mais fácil vencer um mau hábito hoje do que amanhã.,Confúcio
12,"O fogo prova o ouro; a adversidade, os homens fortes.",Sêneca
13,Algumas derrotas são mais triunfantes do que vitórias.,Michael de Montaigne
14,"O tempo, devorador das coisas, tudo consome lentamente.",Ovídio
15,O início é a parte mais importante de qualquer trabalho.,Platão
16,A arte de viver assemelha-se mais à luta do que à dança.,Marco Aurélio
17,Apenas as pessoas instruídas são verdadeiramente livres.,Epicteto
18,Os hábitos são os juros compostos do autoaperfeiçoamento.,James Clear
19,O conhecimento adquirido sob coação não se fixa na mente.,Platão
20,Garra é paixão e perseverança por objetivos de longo prazo.,Angela Duckworth
21,"O tempo é um rio de acontecimentos, e sua corrente é forte.",Marco Aurélio
22,A vontade de vencer não é nada sem a vontade de se preparar.,Vince Lombardi
23,O sucesso é ir de fracasso em fracasso sem perder entusiasmo.,Winston Churchill
24,"A gota fura a pedra não pela força, mas por cair muitas vezes.",Ovídio
25,"Nada tenho a oferecer além de sangue, esforço, lágrimas e suor.",Winston Churchill
26,Quanto tempo mais vais esperar para exigir o melhor de ti mesmo?,Epicteto
27,"Nossos fracassos, às vezes, são mais frutíferos do que os êxitos.",Henry Ford
28,Todo fracasso traz consigo a semente de um benefício equivalente.,Napoleon Hill
29,A natureza dos homens é semelhante; são os hábitos que os separam.,Confúcio
30,Nada é particularmente difícil se você dividir em pequenas tarefas.,Henry Ford
31,"Se quer progredir, aceite parecer tolo e ignorante por algum tempo.",Epicteto
32,Não perca mais tempo discutindo como deve ser um homem bom. Seja um.,Marco Aurélio
33,O insucesso é uma oportunidade para recomeçar com mais inteligência.,Henry Ford
34,As dificuldades fortalecem a mente como o trabalho fortalece o corpo.,Sêneca
35,O valor real de qualquer coisa é o esforço e o trabalho de adquiri-la.,Adam Smith
36,Foco significa dizer não a centenas de outras boas ideias que existem.,Steve Jobs
37,O verdadeiro valor das coisas é o esforço e o problema de as adquirir.,Adam Smith
38,"Seu tempo é limitado, não o desperdice vivendo a vida de outra pessoa.",Steve Jobs
39,Ter problemas na vida é inevitável. Ser derrotado por eles é opcional.,Roger Crowford
40,Resiste ao começo: tarde é o remédio quando o mal se fortaleceu na demora.,Ovídio
41,"Toda a vida do tolo é ingrata, aflita, inteiramente voltada para o futuro.",Sêneca
42,A persistência está para o caráter do homem como o carbono está para o aço.,Napoleon Hill
43,"Se continuares a adiar, não perceberás teu progresso e seguirás sendo comum.",Epicteto
44,Nenhum homem é mais infeliz do que aquele que nunca enfrentou a adversidade.,Sêneca
45,"A minha fórmula para a grandeza: um sim, um não, uma linha reta, um objetivo.",Friedrich Nietzsche
46,Toda ação que você toma é um voto para o tipo de pessoa que deseja se tornar.,James Clear
47,O obstáculo à ação impulsiona a ação. O que está no caminho torna-se o caminho.,Marco Aurélio
48,"O talento vence jogos, mas trabalho em equipe e inteligência vencem campeonatos.",Michael Jordan
49,"Melhorar 1% por dia não parece muito, mas ao longo do tempo faz toda a diferença.",James Clear
50,Lembra-te de há quanto tempo adias isso e quantas oportunidades já desperdiçaste.,Marco Aurélio
